student_id,roll_number,department,batch_year,graduation_year,current_year,cgpa,location,num_skills,num_certifications,num_internships,has_linkedin,has_github,has_portfolio,num_projects,programming_skills,domain_skills,soft_skills,top_skill_category,avg_skill_proficiency,total_certifications_value,total_internship_months,has_placement,placed_company,placed_role,placed_package,placed_industry,placement_year,time_to_placement_months,career_success_score,target_industry,target_role,career_satisfaction
26,21MEC010,MEC,2021,2025,3,7.9,Guntur,9,3,1,1,0,0,5,AutoCAD|SolidWorks|CATIA,Mechanical Design|CAD,Teamwork|Communication,Technical,80,8,4,0,,,0,,,,0,Manufacturing,Mechanical Engineer,
27,21MEC011,MEC,2021,2025,3,8.2,Vijayawada,10,4,2,1,0,0,6,AutoCAD|ANSYS|SolidWorks|Manufacturing,Design|Analysis,Problem Solving|Analytical,Technical,82,10,6,0,,,0,,,,0,Automotive,Design Engineer,
28,20CIV001,CIV,2020,2024,4,7.9,Hyderabad,8,3,1,1,0,0,4,AutoCAD|Revit|Staad Pro|Primavera,Structural Design|Construction Management,Communication|Teamwork,Technical,80,8,4,1,L&T,Site Engineer,900000,Construction,2024,2,84,Construction,Civil Engineer,7
29,20CIV002,CIV,2020,2024,4,8.3,Bangalore,9,4,2,1,0,0,5,AutoCAD|Revit|BIM|ETABS|Staad Pro,Structural Design|BIM|Project Management,Problem Solving|Leadership,Technical,83,11,6,1,Shapoorji Pallonji,Structural Engineer,1100000,Construction,2024,2,87,Construction,Structural Engineer,8
30,20CIV003,CIV,2020,2024,4,7.6,Pune,7,2,1,1,0,0,3,AutoCAD|Staad Pro|MS Project,Structural Design|Estimation,Teamwork|Communication,Technical,77,6,3,1,NCC,Junior Engineer,800000,Construction,2024,3,82,Construction,Civil Engineer,7
31,21CIV010,CIV,2021,2025,3,8.0,Guntur,8,3,1,1,0,0,4,AutoCAD|Staad Pro|Revit,Structural Design|CAD,Communication|Teamwork,Technical,79,8,4,0,,,0,,,,0,Construction,Structural Engineer,
32,21CIV011,CIV,2021,2025,3,7.8,Vijayawada,7,2,1,1,0,0,3,AutoCAD|Primavera|MS Project,Construction Management,Teamwork|Leadership,Technical,78,6,3,0,,,0,,,,0,Construction,Project Engineer,
33,20CSM001,CSM,2020,2024,4,9.1,Bangalore,19,8,4,1,1,1,14,Python|TensorFlow|PyTorch|Keras|Scikit-learn|OpenCV,Machine Learning|Deep Learning|Computer Vision|AI,Research|Problem Solving|Analytical,Technical,93,19,13,1,Nvidia,AI Engineer,2600000,Technology,2024,0,97,AI/ML,AI Researcher,10
34,20CSM002,CSM,2020,2024,4,8.8,Hyderabad,18,7,3,1,1,1,13,Python|PyTorch|NLP|Transformers|Hugging Face,Natural Language Processing|Deep Learning|LLM,Analytical|Research|Communication,Technical,91,17,11,1,OpenAI,ML Engineer,2500000,Technology,2024,0,96,AI/ML,NLP Engineer,10
35,20CSM003,CSM,2020,2024,4,8.6,Pune,17,7,3,1,1,1,12,Python|R|Scikit-learn|Pandas|NumPy|Statistics,Machine Learning|Data Science|Predictive Analytics,Problem Solving|Analytical|Communication,Technical,89,16,10,1,Fractal Analytics,Data Scientist,1800000,Analytics,2024,1,93,Data Science,Data Scientist,9
36,21CSM010,CSM,2021,2025,3,8.9,Vijayawada,17,7,3,1,1,1,11,Python|TensorFlow|Keras|Computer Vision|OpenCV,AI|ML|Deep Learning,Research|Problem Solving,Technical,90,16,10,0,,,0,,,,0,AI/ML,ML Engineer,
37,21CSM011,CSM,2021,2025,3,8.7,Guntur,16,6,3,1,1,1,10,Python|Scikit-learn|Pandas|Data Science,ML|Data Analytics|Statistics,Analytical|Communication,Technical,88,15,9,0,,,0,,,,0,Data Science,Data Scientist,
38,20AID001,AID,2020,2024,4,9.0,Bangalore,18,7,4,1,1,1,13,Python|TensorFlow|Keras|SQL|Tableau|Power BI,AI|Data Science|ML|Data Visualization|Analytics,Analytical|Problem Solving|Communication,Technical,92,18,12,1,Mu Sigma,Data Scientist,1900000,Analytics,2024,1,95,Data Science,Senior Data Scientist,9
39,20AID002,AID,2020,2024,4,8.7,Hyderabad,17,7,3,1,1,1,12,Python|Pandas|NumPy|SQL|Spark|Hadoop,Big Data|Data Engineering|ETL|Data Pipelines,Problem Solving|Teamwork|Analytical,Technical,90,16,11,1,Deloitte,Data Engineer,1600000,Consulting,2024,1,92,Data Engineering,Data Engineer,9
40,20AID003,AID,2020,2024,4,8.4,Pune,16,6,3,1,1,1,11,Python|R|Statistics|ML|SQL|Excel,Data Analysis|Predictive Modeling|Statistical Analysis,Analytical|Communication|Problem Solving,Technical,87,15,9,1,EY,Business Analyst,1400000,Consulting,2024,2,90,Analytics,Business Analyst,8
41,21AID010,AID,2021,2025,3,8.8,Guntur,16,6,3,1,1,1,10,Python|TensorFlow|Data Science|SQL,AI|Data Science|ML,Analytical|Problem Solving,Technical,89,15,9,0,,,0,,,,0,Data Science,Data Scientist,
42,21AID011,AID,2021,2025,3,8.5,Vijayawada,15,6,2,1,1,1,9,Python|SQL|Tableau|Power BI|Excel,Data Analytics|Visualization,Communication|Analytical,Technical,86,14,8,0,,,0,,,,0,Analytics,Data Analyst,
43,20AIML001,AIML,2020,2024,4,9.2,Bangalore,19,8,4,1,1,1,14,Python|PyTorch|TensorFlow|Keras|MLOps|Docker,Deep Learning|ML|AI|Model Deployment,Research|Problem Solving|Leadership,Technical,94,20,14,1,Google Brain,ML Research Engineer,2800000,Technology,2024,0,98,AI/ML,Research Scientist,10
44,20AIML002,AIML,2020,2024,4,8.9,Hyderabad,18,7,3,1,1,1,13,Python|PyTorch|Computer Vision|OpenCV|YOLO,Computer Vision|Object Detection|Image Processing,Analytical|Problem Solving|Research,Technical,92,18,12,1,Tesla,Computer Vision Engineer,2400000,Automotive,2024,0,96,AI/ML,CV Engineer,10
45,20AIML003,AIML,2020,2024,4,8.6,Pune,17,7,3,1,1,1,12,Python|NLP|BERT|GPT|Transformers|Hugging Face,Natural Language Processing|LLM|Text Analytics,Problem Solving|Communication|Research,Technical,89,17,11,1,Microsoft,NLP Engineer,2200000,Technology,2024,1,94,AI/ML,NLP Specialist,9
46,21AIML010,AIML,2021,2025,3,8.9,Vijayawada,17,7,3,1,1,1,11,Python|TensorFlow|PyTorch|ML|Deep Learning,AI|ML|Neural Networks,Research|Analytical,Technical,91,17,10,0,,,0,,,,0,AI/ML,ML Engineer,
47,21AIML011,AIML,2021,2025,3,8.7,Guntur,16,6,3,1,1,1,10,Python|Keras|Scikit-learn|ML|Statistics,Machine Learning|AI|Data Science,Problem Solving|Communication,Technical,89,16,9,0,,,0,,,,0,AI/ML,AI Engineer,
48,20CIC001,CIC,2020,2024,4,8.8,Bangalore,18,7,3,1,1,1,12,Python|C|C++|IoT|Arduino|Raspberry Pi|Blockchain|Solidity,IoT|Cyber Security|Blockchain|Smart Contracts,Problem Solving|Research|Analytical,Technical,91,18,11,1,IBM,IoT Security Engineer,2000000,Technology,2024,1,94,IoT/Security,Security Architect,9
49,20CIC002,CIC,2020,2024,4,8.5,Hyderabad,17,6,3,1,1,1,11,Python|IoT|MQTT|Node-RED|AWS IoT|Security,IoT Solutions|Cloud IoT|Network Security,Communication|Problem Solving|Teamwork,Technical,88,16,10,1,Cisco,IoT Engineer,1700000,Technology,2024,1,92,IoT,IoT Developer,9
50,20CIC003,CIC,2020,2024,4,8.3,Pune,16,6,3,1,1,1,10,Solidity|Ethereum|Web3|Blockchain|Cryptography,Blockchain|Smart Contracts|DeFi|Security,Analytical|Problem Solving|Research,Technical,86,15,9,1,Polygon,Blockchain Developer,2100000,Blockchain,2024,1,93,Blockchain,Blockchain Engineer,9
51,21CIC010,CIC,2021,2025,3,8.6,Guntur,16,6,3,1,1,1,10,Python|IoT|Blockchain|Security,IoT|Cyber Security|Blockchain,Problem Solving|Analytical,Technical,87,15,9,0,,,0,,,,0,IoT/Security,Security Engineer,
52,21CIC011,CIC,2021,2025,3,8.4,Vijayawada,15,5,2,1,1,1,9,Python|IoT|Arduino|Security|Cryptography,IoT|Embedded Security,Communication|Problem Solving,Technical,85,14,8,0,,,0,,,,0,IoT,IoT Developer,
53,20CSO001,CSO,2020,2024,4,8.6,Bangalore,17,7,3,1,1,1,11,Python|C|C++|IoT|ESP32|MQTT|ThingSpeak,Internet of Things|Embedded Systems|IoT Cloud,Problem Solving|Analytical|Communication,Technical,89,17,11,1,HCL,IoT Solution Architect,1800000,Technology,2024,1,92,IoT,IoT Architect,9
54,20CSO002,CSO,2020,2024,4,8.3,Hyderabad,16,6,3,1,1,1,10,Python|IoT|Node-RED|AWS IoT|Azure IoT,IoT Development|Cloud Integration|Sensors,Teamwork|Problem Solving|Communication,Technical,86,15,10,1,Tech Mahindra,IoT Developer,1500000,Technology,2024,1,90,IoT,Senior IoT Developer,8
55,20CSO003,CSO,2020,2024,4,8.1,Pune,15,6,2,1,1,0,9,Python|Arduino|Raspberry Pi|IoT|MQTT,IoT Projects|Smart Systems|Automation,Problem Solving|Creativity,Technical,84,14,8,1,Wipro,IoT Engineer,1400000,Technology,2024,2,88,IoT,IoT Specialist,8
56,21CSO010,CSO,2021,2025,3,8.4,Vijayawada,15,5,3,1,1,1,9,Python|IoT|ESP32|Arduino|Cloud,IoT|Smart Systems,Problem Solving|Communication,Technical,85,14,9,0,,,0,,,,0,IoT,IoT Developer,
57,21CSO011,CSO,2021,2025,3,8.2,Guntur,14,5,2,1,1,0,8,Python|C|IoT|Sensors|MQTT,IoT Development|Embedded,Analytical|Teamwork,Technical,83,12,7,0,,,0,,,,0,IoT,IoT Engineer,
58,20CSE006,CSE,2020,2024,4,8.7,Bangalore,17,7,3,1,1,1,11,Python|React|Node.js|MongoDB|Express,MERN Stack|Full Stack|RESTful APIs,Communication|Problem Solving|Leadership,Technical,90,17,11,1,Flipkart,Full Stack Developer,1800000,E-commerce,2024,1,93,Technology,Senior Full Stack,9
59,20CSE007,CSE,2020,2024,4,8.4,Hyderabad,16,6,3,1,1,1,10,Java|Spring Boot|Microservices|Kafka|Redis,Microservices|Backend|Distributed Systems,Problem Solving|Teamwork|Analytical,Technical,87,15,10,1,Phonepe,Backend Engineer,1900000,Fintech,2024,1,92,Technology,Backend Architect,9
60,20CSE008,CSE,2020,2024,4,9.0,Pune,18,7,3,1,1,1,13,Python|Django|PostgreSQL|Redis|Celery|Docker,Backend Development|Scalable Systems|APIs,Problem Solving|Leadership|Communication,Technical,91,18,12,1,Paytm,Senior Backend Engineer,2000000,Fintech,2024,1,94,Technology,Tech Lead,9
61,20CSE009,CSE,2020,2024,4,7.9,Mumbai,14,5,2,1,1,1,8,Java|Android|Kotlin|Firebase|REST APIs,Android Development|Mobile Apps,Creativity|Problem Solving|Teamwork,Technical,83,13,8,1,Zomato,Android Developer,1500000,Food Tech,2024,2,89,Mobile,Senior Android Dev,8
62,20CSE010,CSE,2020,2024,4,8.2,Delhi,15,6,3,1,1,1,9,Swift|iOS|UIKit|SwiftUI|CoreData,iOS Development|Mobile Apps|App Store,Problem Solving|Communication|Creativity,Technical,85,15,9,1,Swiggy,iOS Developer,1600000,Food Tech,2024,1,90,Mobile,iOS Developer,9
63,21CSE012,CSE,2021,2025,3,8.8,Bangalore,16,6,3,1,1,1,10,Python|Flask|React|PostgreSQL|AWS,Full Stack|Cloud|Web Development,Communication|Problem Solving,Technical,88,15,9,0,,,0,,,,0,Technology,Full Stack Developer,
64,21CSE013,CSE,2021,2025,3,8.5,Hyderabad,15,6,2,1,1,1,9,JavaScript|Node.js|Express|MongoDB,Backend|APIs|Database,Problem Solving|Teamwork,Technical,86,14,8,0,,,0,,,,0,Technology,Backend Developer,
65,21CSE014,CSE,2021,2025,3,8.3,Pune,14,5,2,1,1,0,8,React|Redux|JavaScript|HTML|CSS,Frontend|UI Development,Creativity|Communication,Technical,84,13,7,0,,,0,,,,0,Technology,Frontend Developer,
66,20IT004,IT,2020,2024,4,8.5,Bangalore,16,6,3,1,1,1,10,Python|FastAPI|PostgreSQL|Docker|Kubernetes,Backend|Microservices|Containerization,Problem Solving|Leadership|Communication,Technical,88,16,10,1,Razorpay,Backend Engineer,1700000,Fintech,2024,1,91,Technology,Senior Backend,9
67,20IT005,IT,2020,2024,4,8.1,Hyderabad,14,5,2,1,1,1,8,React|TypeScript|Next.js|Tailwind|GraphQL,Frontend|Modern Web|Performance,Creativity|Problem Solving|Teamwork,Technical,84,14,8,1,Mindtree,Frontend Developer,1300000,Technology,2024,2,88,Technology,UI Engineer,8
68,20IT006,IT,2020,2024,4,7.9,Chennai,13,5,2,1,0,0,7,Java|Spring|MySQL|JUnit|Maven,Backend|Enterprise Apps,Communication|Teamwork,Technical,82,12,7,1,Accenture,Java Developer,1100000,Consulting,2024,2,86,Technology,Java Developer,8
69,21IT012,IT,2021,2025,3,8.6,Vijayawada,15,6,3,1,1,1,9,Python|Django|React|PostgreSQL,Full Stack|Web Apps,Problem Solving|Communication,Technical,87,15,9,0,,,0,,,,0,Technology,Full Stack Developer,
70,21IT013,IT,2021,2025,3,8.3,Guntur,14,5,2,1,1,0,8,Angular|TypeScript|Node.js,Full Stack|Web Development,Teamwork|Communication,Technical,84,13,7,0,,,0,,,,0,Technology,MEAN Stack Developer,
71,20ECE004,ECE,2020,2024,4,8.6,Bangalore,14,6,3,1,1,1,9,C|C++|Python|ARM|FreeRTOS|I2C|SPI,Embedded Systems|Firmware|RTOS,Problem Solving|Analytical|Communication,Technical,87,15,10,1,Bosch,Senior Embedded Engineer,1700000,Automotive,2024,1,91,Embedded,Embedded Architect,9
72,20ECE005,ECE,2020,2024,4,8.2,Hyderabad,13,5,2,1,1,0,7,Verilog|VHDL|Cadence|Synopsys|Verification,VLSI|RTL Design|Verification,Analytical|Problem Solving|Teamwork,Technical,84,14,8,1,Broadcom,ASIC Design Engineer,1800000,Semiconductor,2024,1,90,Semiconductor,VLSI Designer,9
73,20ECE006,ECE,2020,2024,4,7.8,Pune,12,4,2,1,0,0,6,C|Python|Wireless|RF|5G,Wireless Communication|RF Testing,Communication|Analytical,Technical,81,11,6,1,Nokia,RF Engineer,1500000,Telecom,2024,2,87,Telecom,RF Specialist,8
74,21ECE012,ECE,2021,2025,3,8.4,Guntur,13,5,2,1,1,1,7,C|Embedded C|Python|ARM|Sensors,Embedded|IoT|Firmware,Problem Solving|Teamwork,Technical,85,13,7,0,,,0,,,,0,Embedded,Embedded Developer,
75,21ECE013,ECE,2021,2025,3,8.0,Vijayawada,12,4,2,1,0,0,6,Verilog|FPGA|Digital Design,VLSI|FPGA Design,Analytical|Communication,Technical,82,11,6,0,,,0,,,,0,Semiconductor,FPGA Engineer,
76,20EEE004,EEE,2020,2024,4,8.3,Bangalore,11,5,2,1,1,0,6,MATLAB|Simulink|Power Electronics|Control,Power Electronics|Motor Drives,Problem Solving|Analytical,Technical,84,13,7,1,Schneider Electric,Power Electronics Engineer,1400000,Energy,2024,1,88,Energy,Power Engineer,8
77,20EEE005,EEE,2020,2024,4,7.9,Hyderabad,10,4,2,1,0,0,5,PLC|SCADA|HMI|Automation Studio,Industrial Automation|PLC Programming,Communication|Problem Solving,Technical,81,11,6,1,Honeywell,Automation Engineer,1300000,Manufacturing,2024,2,86,Automation,PLC Programmer,8
78,20EEE006,EEE,2020,2024,4,8.1,Chennai,11,4,2,1,0,0,6,MATLAB|Python|Renewable Energy|Solar PV,Renewable Energy|Power Systems,Analytical|Problem Solving,Technical,83,12,7,1,Suzlon,Renewable Energy Engineer,1200000,Energy,2024,2,87,Energy,Solar Engineer,8
79,21EEE012,EEE,2021,2025,3,8.2,Vijayawada,10,4,2,1,0,0,5,MATLAB|AutoCAD|Electrical Systems,Power Systems|Electrical Design,Communication|Analytical,Technical,82,11,6,0,,,0,,,,0,Power,Electrical Engineer,
80,21EEE013,EEE,2021,2025,3,7.8,Guntur,9,3,1,1,0,0,4,PLC|SCADA|Automation,Industrial Automation,Teamwork|Problem Solving,Technical,80,9,4,0,,,0,,,,0,Automation,Automation Engineer,
81,20MEC004,MEC,2020,2024,4,8.3,Pune,11,5,2,1,1,0,7,SolidWorks|CATIA|ANSYS|GD&T|Tolerance,Mechanical Design|Product Design,Problem Solving|Creativity|Analytical,Technical,85,13,7,1,Bajaj Auto,Design Engineer,1300000,Automotive,2024,1,88,Automotive,Senior Design Engineer,8
82,20MEC005,MEC,2020,2024,4,7.9,Chennai,10,4,2,1,0,0,5,AutoCAD|CREO|Manufacturing|Six Sigma,Production|Quality|Lean Manufacturing,Communication|Teamwork|Leadership,Technical,81,11,6,1,Ashok Leyland,Production Engineer,1100000,Automotive,2024,2,85,Manufacturing,Production Manager,8
83,20MEC006,MEC,2020,2024,4,8.5,Bangalore,12,5,2,1,1,0,8,ANSYS|CFD|Thermal Analysis|Heat Transfer,Thermal Engineering|Simulation|Analysis,Analytical|Problem Solving|Research,Technical,86,14,8,1,GE,Thermal Analysis Engineer,1400000,Aerospace,2024,1,89,Aerospace,Thermal Engineer,9
84,21MEC012,MEC,2021,2025,3,8.1,Guntur,10,4,2,1,0,0,6,SolidWorks|AutoCAD|Mechanical Design,Design|CAD/CAM,Problem Solving|Teamwork,Technical,82,11,6,0,,,0,,,,0,Automotive,Design Engineer,
85,21MEC013,MEC,2021,2025,3,7.8,Vijayawada,9,3,1,1,0,0,5,CATIA|Manufacturing|Quality Control,Production|Manufacturing,Communication|Leadership,Technical,80,9,4,0,,,0,,,,0,Manufacturing,Production Engineer,
86,20CIV004,CIV,2020,2024,4,8.1,Hyderabad,9,4,2,1,0,0,5,AutoCAD|Revit|BIM 360|Navisworks,BIM|Construction Technology|3D Modeling,Problem Solving|Communication|Teamwork,Technical,82,11,6,1,AECOM,BIM Engineer,1200000,Construction,2024,2,87,Construction,BIM Specialist,8
87,20CIV005,CIV,2020,2024,4,7.8,Bangalore,8,3,1,1,0,0,4,Staad Pro|ETABS|SAP2000|AutoCAD,Structural Analysis|Design,Analytical|Problem Solving,Technical,80,9,4,1,Larsen & Toubro,Structural Design Engineer,1100000,Construction,2024,2,85,Construction,Structural Designer,8
88,20CIV006,CIV,2020,2024,4,8.2,Pune,9,4,2,1,0,0,5,AutoCAD|Primavera|MS Project|Quantity Surveying,Project Management|Construction Planning,Leadership|Communication|Organization,Technical,83,12,7,1,Afcons Infrastructure,Project Engineer,1000000,Construction,2024,2,86,Construction,Project Manager,8
89,21CIV012,CIV,2021,2025,3,8.0,Vijayawada,8,3,1,1,0,0,4,AutoCAD|Revit|Staad Pro,Structural Design|BIM,Communication|Teamwork,Technical,81,9,4,0,,,0,,,,0,Construction,Structural Engineer,
90,21CIV013,CIV,2021,2025,3,7.7,Guntur,7,2,1,1,0,0,3,AutoCAD|MS Project|Estimation,Construction Management,Leadership|Teamwork,Technical,78,7,3,0,,,0,,,,0,Construction,Site Engineer,
91,20CSM004,CSM,2020,2024,4,8.9,Bangalore,18,8,4,1,1,1,13,Python|PyTorch|Transformers|NLP|BERT|GPT,NLP|LLM|Text Generation|Conversational AI,Research|Problem Solving|Communication,Technical,92,19,13,1,Amazon Alexa,NLP Research Engineer,2400000,Technology,2024,0,96,AI/ML,NLP Researcher,10
92,20CSM005,CSM,2020,2024,4,8.7,Hyderabad,17,7,3,1,1,1,12,Python|TensorFlow|Computer Vision|YOLO|Mask R-CNN,Computer Vision|Object Detection|Image Segmentation,Analytical|Research|Problem Solving,Technical,90,18,12,1,Qualcomm,Computer Vision Engineer,2200000,Technology,2024,0,95,AI/ML,CV Specialist,9
93,20CSM006,CSM,2020,2024,4,8.5,Pune,16,6,3,1,1,1,11,Python|Scikit-learn|XGBoost|Feature Engineering,ML|Predictive Modeling|Feature Engineering,Analytical|Problem Solving|Communication,Technical,88,16,10,1,Flipkart,ML Engineer,2000000,E-commerce,2024,1,93,AI/ML,Senior ML Engineer,9
94,21CSM012,CSM,2021,2025,3,8.8,Guntur,17,7,3,1,1,1,11,Python|PyTorch|Deep Learning|CNNs|RNNs,Deep Learning|Neural Networks,Research|Analytical,Technical,89,17,10,0,,,0,,,,0,AI/ML,DL Engineer,
95,21CSM013,CSM,2021,2025,3,8.6,Vijayawada,16,6,3,1,1,1,10,Python|TensorFlow|Keras|ML|AutoML,ML|AutoML|Model Optimization,Problem Solving|Communication,Technical,87,15,9,0,,,0,,,,0,AI/ML,ML Engineer,
